filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,380,380,can,85,2,294,380
2.jpg,500,500,can,77,4,398,500
3.jpg,450,450,can,101,18,344,444
4.jpg,225,225,can,69,3,156,222
5.jpg,272,185,can,35,26,260,167
6.jpg,225,225,can,14,95,111,184
6.jpg,225,225,can,107,30,195,191
7.jpg,748,748,can,181,31,538,643
8.jpg,1170,1230,can,377,37,797,1032
9.jpg,228,425,can,45,70,185,418
10.jpg,466,500,can,16,289,225,491
10.jpg,466,500,can,229,32,455,456
11.jpg,225,225,can,59,3,165,220
12.jpg,225,225,can,55,5,168,219
13.jpg,225,225,can,68,5,158,219
14.jpg,292,500,can,26,11,272,492
15.jpg,1200,1200,can,312,107,872,1092
16.jpg,240,160,can,54,50,217,138
17.jpg,225,225,can,52,3,176,225
18.jpg,225,225,can,57,16,153,208
19.jpg,251,201,can,77,9,173,191
20.jpg,280,280,can,65,4,216,275
104151690_ec0be82b96_z.jpg,640,480,can,105,26,334,464
104151690_ec0be82b96_z.jpg,640,480,can,325,49,506,414
565109197_63affe0e14_z.jpg,480,640,can,106,29,390,560
1318137906_c262dbc52a_o.jpg,400,300,can,102,14,245,277
1583681185_9d35cfcdb1_z.jpg,480,640,can,64,68,355,553
2579255204_516549c23d_z.jpg,328,500,can,80,92,263,429
3068661135_d856aaacc9_z.jpg,500,375,can,174,63,327,363
3543786669_2a5fbdabea_z (1).jpg,640,425,can,150,15,371,410
3543786669_2a5fbdabea_z.jpg,640,425,can,152,16,384,410
3701834534_2d8c3a470c_o.jpg,632,886,can,136,110,476,738
4130170092_2c98e7d46f_z.jpg,640,425,can,305,15,523,406
4278671592_e9ef1f0cd8_z.jpg,640,497,can,364,34,574,455
4495419464_e9d33ed160_z.jpg,640,478,can,110,71,318,387
4495419464_e9d33ed160_z.jpg,640,478,can,335,66,522,392
4613048571_5477c395c8_z.jpg,640,480,can,84,41,304,457
4613048571_5477c395c8_z.jpg,640,480,can,318,39,538,465
4697885714_0aa70e19a6_z.jpg,640,480,can,21,42,183,338
4697885714_0aa70e19a6_z.jpg,640,480,can,177,43,334,350
4697885714_0aa70e19a6_z.jpg,640,480,can,329,27,483,326
4697885714_0aa70e19a6_z.jpg,640,480,can,483,26,634,327
4740769793_c29e828540_z.jpg,640,564,can,201,70,430,501
4740769793_c29e828540_z.jpg,640,564,can,432,21,622,366
4740769793_c29e828540_z.jpg,640,564,can,12,22,198,374
4843827127_48f5ca41d0_z.jpg,640,480,can,51,49,237,408
4843827127_48f5ca41d0_z.jpg,640,480,can,237,50,412,405
4843827127_48f5ca41d0_z.jpg,640,480,can,413,50,580,394
5035098062_87f5ba99a7_z.jpg,427,640,can,98,122,310,535
5669991486_c663a4fcc0_z.jpg,427,640,can,94,89,341,529
8007444546_e6f1a8ae5e_z.jpg,640,427,can,147,4,381,422
12388063025_a50fabb79e_z.jpg,640,427,can,223,47,416,401
41.jpg,340,525,can,1,3,266,520
42.jpg,206,244,can,46,8,162,232
43.jpg,191,264,can,29,4,166,259
44.jpg,209,241,can,49,39,139,202
45.jpg,652,970,can,149,22,497,947
46.jpg,355,355,can,72,1,282,354
47.jpg,355,355,can,84,3,272,355
48.jpg,736,1416,can,10,21,735,1402
49.jpg,450,450,can,114,4,339,450
50.jpg,216,233,can,40,11,157,219
51.jpg,299,169,can,104,6,196,168
52.jpg,680,320,can,261,27,406,293
53.jpg,283,178,can,98,11,187,168
54.jpg,183,275,can,45,36,134,243
55.jpg,254,198,can,72,4,179,195
56.jpg,600,600,can,141,11,461,588
57.jpg,225,225,can,60,1,175,222
58.jpg,250,250,can,76,6,176,250
59.jpg,225,225,can,51,1,171,224
60.jpg,225,225,can,50,8,170,212
61.jpg,225,225,can,60,14,163,209
62.jpg,275,183,can,45,1,142,183
62.jpg,275,183,can,145,25,228,182
63.jpg,225,225,can,65,28,160,199
64.jpg,225,225,can,54,1,171,225
65.jpg,225,225,can,44,2,177,225
66.jpg,165,306,can,7,2,162,303
67.jpg,225,225,can,55,10,170,216
68.jpg,198,254,can,48,32,151,219
69.jpg,225,225,can,70,42,157,187
70.jpg,160,300,can,2,2,158,298
71.jpg,500,500,can,156,27,325,471
72.jpg,172,294,can,12,18,159,281
73.jpg,225,225,can,57,10,168,216
74.jpg,225,225,can,58,16,158,208
75.jpg,210,240,can,42,5,169,235
76.jpg,225,225,can,77,47,146,176
77.jpg,225,225,can,59,23,165,205
78.jpg,225,225,can,54,7,168,218
79.jpg,500,500,can,136,31,358,458
80.jpg,225,225,can,73,10,154,210
81.jpg,163,310,can,1,3,162,306
82.jpg,225,225,can,50,3,173,222
83.jpg,190,266,can,34,33,158,254
84.jpg,89,218,can,4,61,83,218
85.jpg,225,225,can,54,6,176,223
86.jpg,200,200,can,38,2,157,195
87.jpg,225,225,can,54,2,172,223
88.jpg,225,225,can,53,1,178,225
89.jpg,225,225,can,53,1,171,222
90.jpg,225,225,can,65,1,162,225
91.jpg,225,225,can,55,4,170,220
92.jpg,165,306,can,4,1,162,303
93.jpg,225,225,can,67,1,161,225
94.jpg,225,225,can,71,9,152,220
95.jpg,210,240,can,52,22,156,217
96.jpg,370,370,can,89,10,279,352
97.jpg,224,224,can,66,3,157,220
98.jpg,95,204,can,7,6,90,194
99.jpg,209,241,can,42,9,155,221
100.jpg,512,512,can,254,131,359,335
100.jpg,512,512,can,252,329,326,512
101.jpg,194,259,can,37,10,157,244
102.jpg,201,250,can,32,1,169,248
103.jpg,163,308,can,1,2,162,308
104.jpg,91,213,can,2,33,90,210
105.jpg,194,259,can,39,20,155,232
106.jpg,190,266,can,35,33,157,257
107.jpg,162,310,can,1,12,160,303
108.jpg,179,281,can,38,35,145,233
109.jpg,250,250,can,63,16,184,237
110.jpg,191,264,can,32,4,161,256
111.jpg,780,809,can,58,165,308,682
112.jpg,245,206,can,10,9,110,197
112.jpg,245,206,can,133,9,234,196
113.jpg,268,268,can,53,59,196,210
114.jpg,480,800,can,3,153,123,407
114.jpg,480,800,can,123,151,241,403
114.jpg,480,800,can,241,155,371,403
114.jpg,480,800,can,367,153,480,399
114.jpg,480,800,can,5,403,123,651
114.jpg,480,800,can,121,403,239,653
114.jpg,480,800,can,241,403,367,653
114.jpg,480,800,can,367,403,480,645
115.jpg,780,809,can,51,152,331,685
117.jpg,0,0,can,8,4,126,230
117.jpg,0,0,can,121,1,239,237
117.jpg,0,0,can,239,1,353,234
118.jpg,1024,768,can,62,81,358,612
118.jpg,1024,768,can,358,60,584,564
118.jpg,1024,768,can,705,81,901,442
119.jpg,700,420,can,4,75,130,343
119.jpg,700,420,can,130,63,280,369
119.jpg,700,420,can,280,63,430,361
119.jpg,700,420,can,433,66,569,366
119.jpg,700,420,can,577,69,700,345
120.jpg,1440,600,can,47,384,310,600
120.jpg,1440,600,can,316,15,610,459
120.jpg,1440,600,can,610,396,1030,600
120.jpg,1440,600,can,960,21,1241,440
121.jpg,300,168,can,40,17,157,84
122.jpg,262,192,can,52,30,224,148
123.jpg,300,168,can,114,13,190,143
124.jpg,194,259,can,64,68,134,198
125.jpg,249,202,can,17,38,107,192
125.jpg,249,202,can,144,1,240,191
126.jpg,309,163,can,20,23,133,145
126.jpg,309,163,can,176,27,290,157
127.jpg,263,191,can,31,39,101,117
127.jpg,263,191,can,136,56,210,157
128.jpg,275,183,can,134,41,195,143
129.jpg,275,183,can,106,45,174,141
130.jpg,274,184,can,16,9,236,184
131.jpg,191,264,can,21,75,109,154
132.jpg,139,279,can,5,3,139,276
133.jpg,1600,1168,can,709,400,1349,920
134.jpg,400,170,can,34,84,132,147
134.jpg,400,170,can,112,14,176,124
134.jpg,400,170,can,176,17,222,121
134.jpg,400,170,can,217,41,277,147
134.jpg,400,170,can,277,91,374,157
135.jpg,1436,804,can,589,98,895,598
8117509971_88b5f4176e_z.jpg,640,148,can,98,63,114,89
3032916006_3743db3266_z.jpg,640,428,can,299,172,441,385
38963326114_97e2fb881a_z.jpg,640,427,can,466,124,576,304
7055813981_a895de71e3.jpg,500,500,can,233,125,407,449
12474609775_a656929d6f_z.jpg,462,640,can,80,214,211,457
12474609775_a656929d6f_z.jpg,462,640,can,251,221,379,452
2388100672_2d85f7dc8b.jpg,500,377,can,216,172,244,223
3774294778_aae3dfd306_z.jpg,480,640,can,131,97,362,543
5375789324_e5322278c2_z.jpg,425,640,can,147,199,256,394
7176544238_e1952339de_z.jpg,640,480,can,158,173,244,318
35895850360_d639b2c514_z.jpg,640,640,can,175,37,448,596
4482963897_8d5da176e9_z.jpg,640,425,can,384,94,462,253
9625233860_b14bf82747_z.jpg,640,480,can,222,32,418,399
3599657590_7982f8129c_z.jpg,500,348,can,74,50,211,315
3857264105_73cd8081fa_z.jpg,640,426,can,91,100,254,394
2229208602_6676d8bc5c_z.jpg,640,426,can,268,143,345,282
4959435080_7405ca4fc6_z.jpg,480,640,can,59,198,249,580
30882223645_eaf894f527_z.jpg,549,640,can,139,69,406,578
26209969605_3679deb198.jpg,332,500,can,92,94,229,323
8314594350_00aaebe480_z.jpg,640,427,can,144,36,342,406
6201615677_838e57ee73_z.jpg,640,427,can,265,18,478,413
3407269769_a924bec3a3_z.jpg,640,424,can,131,125,423,332
8730602996_3224829e40_z.jpg,426,640,can,72,95,336,575
158.jpg,650,444,can,269,85,538,444
158.jpg,650,444,can,523,161,638,444
159.jpg,750,500,can,439,176,620,485
160.jpg,300,168,can,108,37,190,166
161.jpg,2000,1030,can,3,77,253,868
161.jpg,2000,1030,can,195,68,562,885
161.jpg,2000,1030,can,520,68,1020,993
161.jpg,2000,1030,can,1020,43,1428,960
161.jpg,2000,1030,can,1420,43,1770,918
161.jpg,2000,1030,can,1770,85,2000,874
162.jpg,2520,1455,can,1699,32,2365,510
162.jpg,2520,1455,can,243,155,865,688
163.jpg,750,750,can,92,35,398,726
163.jpg,750,750,can,376,301,667,723
164.jpg,1300,1390,can,669,158,1236,1181
164.jpg,1300,1390,can,74,142,641,1181
165.jpg,450,319,can,252,45,389,256
165.jpg,450,319,can,48,130,252,264
166.jpg,1024,415,can,671,5,904,415
167.jpg,827,581,can,521,164,742,557
168.jpg,750,369,can,182,79,454,289
169.JPG,220,165,can,1,5,71,156
169.JPG,220,165,can,72,3,146,155
169.JPG,220,165,can,146,4,216,152
170.jpg,450,320,can,16,43,263,222
170.jpg,450,320,can,255,19,448,209
171.jpg,418,269,can,36,17,181,265
171.jpg,418,269,can,253,12,397,258
172.jpg,1300,1034,can,36,269,280,925
172.jpg,1300,1034,can,280,269,513,936
173.jpg,272,185,can,50,17,244,170
174.jpg,275,183,can,1,3,79,183
174.jpg,275,183,can,78,11,132,159
174.jpg,275,183,can,131,10,208,173
174.jpg,275,183,can,209,15,275,160
175.jpg,300,168,can,14,11,100,159
